Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,CAP
UNT,Unit Corporation,26.2,$1.42B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/unt,#VALUE!
RAD,Rite Aid Corporation,1.34,$1.43B,n/a,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/rad,#VALUE!
SEND,"SendGrid, Inc.",32.3,$1.43B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/send,#VALUE!
WPG,Washington Prime Group Inc.,7.66,$1.43B,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/wpg,#VALUE!
ARCO,Arcos Dorados Holdings Inc.,6.8,$1.44B,2011,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/arco,#VALUE!
EIG,Employers Holdings Inc,44.05,$1.44B,2007,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/eig,#VALUE!
GTN,"Gray Television, Inc.",16.2,$1.44B,n/a,Consumer Services,Broadcasting,https://www.nasdaq.com/symbol/gtn,#VALUE!
VHI,"Valhi, Inc.",4.26,$1.44B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/vhi,#VALUE!
DPLO,"Diplomat Pharmacy, Inc.",19.53,$1.45B,2014,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/dplo,#VALUE!
LEAF,Leaf Group Ltd.,10.75,$1.45B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/leaf,#VALUE!
MMI,"Marcus & Millichap, Inc.",37.71,$1.45B,2013,Finance,Real Estate,https://www.nasdaq.com/symbol/mmi,#VALUE!
UVV,Universal Corporation,58.1,$1.45B,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/uvv,#VALUE!
BITA,Bitauto Holdings Limited,20.48,$1.46B,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/bita,#VALUE!
IMAX,Imax Corporation,23.3,$1.46B,n/a,Miscellaneous,Industrial Machinery/Components,https://www.nasdaq.com/symbol/imax,#VALUE!
IPHI,Inphi Corporation,33.43,$1.46B,2010,Technology,Semiconductors,https://www.nasdaq.com/symbol/iphi,#VALUE!
MEI,"Methode Electronics, Inc.",39.35,$1.46B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/mei,#VALUE!
PTY,Pimco Corporate & Income Opportunity Fund,17.94,$1.46B,2002,n/a,n/a,https://www.nasdaq.com/symbol/pty,#VALUE!
SPN,"Superior Energy Services, Inc.",9.48,$1.46B,n/a,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/spn,#VALUE!
